ubicacion,original,aumentado_antes_redondeo,nuevo
tabla#1:fila#2:col#4:p#1,"$ 32,14",34.91,"$ 34,00"
tabla#1:fila#3:col#4:p#1,"$ 463,00",502.86,"$ 502,00"
tabla#1:fila#5:col#4:p#1,"$ 1.981,00",2151.56,"$ 2.151,00"
tabla#1:fila#7:col#4:p#1,"$ 554,00",601.70,"$ 601,00"
tabla#2:fila#2:col#4:p#1,"$ 2.424,00",2632.71,"$ 2.632,00"
tabla#2:fila#5:col#4:p#1,"$ 947,00",1028.54,"$ 1.028,00"
tabla#2:fila#6:col#4:p#1,"$ 4.699,00",5103.58,"$ 5.103,00"
tabla#3:fila#2:col#3:p#1,"$ 181,00",196.58,"$ 196,00"
tabla#3:fila#3:col#3:p#1,"$ 84,00",91.23,"$ 91,00"
tabla#4:fila#2:col#3:p#1,"$ 222,00",241.11,"$ 241,00"
tabla#4:fila#3:col#3:p#1,"$ 3.026,00",3286.54,"$ 3.286,00"
tabla#4:fila#4:col#3:p#1,"$ 222,00",241.11,"$ 241,00"
tabla#5:fila#2:col#4:p#1,"$ 3.554,00",3860.00,"$ 3.859,00"
tabla#5:fila#3:col#4:p#1,"$ 627,00",680.98,"$ 680,00"
tabla#5:fila#4:col#4:p#1,"$ 2.456,00",2667.46,"$ 2.667,00"
tabla#5:fila#5:col#4:p#1,"$ 29.809,00",32375.55,"$ 32.375,00"
tabla#5:fila#6:col#4:p#1,"$ 7.767,00",8435.74,"$ 8.435,00"
tabla#5:fila#7:col#4:p#1,"$ 6.407,00",6958.64,"$ 6.958,00"
tabla#5:fila#9:col#4:p#1,"$ 6.407,00",6958.64,"$ 6.958,00"
tabla#5:fila#10:col#4:p#1,"$ 10.704,00",11625.61,"$ 11.625,00"
tabla#5:fila#11:col#4:p#1,"$ 9.618,00",10446.11,"$ 10.446,00"
tabla#5:fila#12:col#4:p#1,"$ 6.653,00",7225.82,"$ 7.225,00"
tabla#5:fila#13:col#4:p#1,"$ 4.431,00",4812.51,"$ 4.812,00"
tabla#5:fila#14:col#4:p#1,"$ 10.655,00",11572.40,"$ 11.572,00"
tabla#5:fila#15:col#4:p#1,"$ 6.495,00",7054.22,"$ 7.054,00"
tabla#5:fila#16:col#4:p#1,"$ 22.602,00",24548.03,"$ 24.548,00"
tabla#5:fila#17:col#4:p#1,"$ 22.602,00",24548.03,"$ 24.548,00"
tabla#6:fila#2:col#4:p#1,"$ 48,13",52.27,"$ 52,00"
tabla#6:fila#3:col#4:p#1,"$ 222,00",241.11,"$ 241,00"
tabla#6:fila#5:col#4:p#1,"$ 2.967,00",3222.46,"$ 3.222,00"
tabla#6:fila#6:col#4:p#1,"$ 2.133,00",2316.65,"$ 2.316,00"
tabla#6:fila#7:col#4:p#1,"$ 2.133,00",2316.65,"$ 2.316,00"
tabla#6:fila#8:col#4:p#1,"$ 1.357,00",1473.84,"$ 1.473,00"
tabla#6:fila#9:col#4:p#1,"$ 1.706,00",1852.89,"$ 1.852,00"
tabla#6:fila#10:col#4:p#1,"$ 2.133,00",2316.65,"$ 2.316,00"
tabla#6:fila#11:col#4:p#1,"$ 3.500,00",3801.35,"$ 3.801,00"
tabla#8:fila#1:col#3:p#1,"$ 2.337,00",2538.22,"$ 2.538,00"
tabla#8:fila#2:col#3:p#1,"$ 40.136,00",43591.71,"$ 43.591,00"
tabla#8:fila#3:col#3:p#1,"$ 16.066,00",17449.28,"$ 17.449,00"
tabla#8:fila#4:col#3:p#1,"$ 3.529,00",3832.85,"$ 3.832,00"
