ubicacion,original,aumentado_antes_redondeo,nuevo
parrafo#42,"$ 13.437,00",14593.93,"$ 14.593,00"
parrafo#43,"$ 1.731,00",1880.04,"$ 1.880,00"
parrafo#44,"$ 1.731,00",1880.04,"$ 1.880,00"
parrafo#45,"$ 6.941,00",7538.62,"$ 7.538,00"
parrafo#46,"$ 3.482,00",3781.80,"$ 3.781,00"
tabla#2:fila#4:col#3:p#1,"$ 4.143,00",4499.71,"$ 4.499,00"
tabla#2:fila#4:col#4:p#1,"$ 3.954,00",4294.44,"$ 4.294,00"
tabla#2:fila#4:col#5:p#1,"$ 3.449,00",3745.96,"$ 3.745,00"
tabla#2:fila#4:col#6:p#1,"$ 1.957,00",2125.50,"$ 2.125,00"
tabla#2:fila#5:col#3:p#1,"$ 5.902,00",6410.16,"$ 6.410,00"
tabla#2:fila#5:col#4:p#1,"$ 5.629,00",6113.66,"$ 6.113,00"
tabla#2:fila#5:col#5:p#1,"$ 4.899,00",5320.80,"$ 5.320,00"
tabla#2:fila#5:col#6:p#1,"$ 2.792,00",3032.39,"$ 3.032,00"
tabla#2:fila#6:col#3:p#1,"$ 6.644,00",7216.05,"$ 7.216,00"
tabla#2:fila#6:col#4:p#1,"$ 6.464,00",7020.55,"$ 7.020,00"
tabla#2:fila#6:col#5:p#1,"$ 5.641,00",6126.69,"$ 6.126,00"
tabla#2:fila#6:col#6:p#1,"$ 3.203,00",3478.78,"$ 3.478,00"
tabla#2:fila#7:col#3:p#1,"$ 7.998,00",8686.63,"$ 8.686,00"
tabla#2:fila#7:col#4:p#1,"$ 7.605,00",8259.79,"$ 8.259,00"
tabla#2:fila#7:col#5:p#1,"$ 6.644,00",7216.05,"$ 7.216,00"
tabla#2:fila#7:col#6:p#1,"$ 3.783,00",4108.72,"$ 4.108,00"
tabla#2:fila#8:col#3:p#1,"$ 16.853,00",18304.04,"$ 18.304,00"
tabla#2:fila#8:col#4:p#1,"$ 16.066,00",17449.28,"$ 17.449,00"
tabla#2:fila#8:col#5:p#1,"$ 14.034,00",15242.33,"$ 15.242,00"
tabla#2:fila#8:col#6:p#1,"$ 8.011,00",8700.75,"$ 8.700,00"
tabla#2:fila#9:col#3:p#1,"$ 4.366,00",4741.91,"$ 4.741,00"
tabla#2:fila#9:col#4:p#1,"$ 4.143,00",4499.71,"$ 4.499,00"
tabla#2:fila#9:col#5:p#1,"$ 3.612,00",3922.99,"$ 3.922,00"
tabla#2:fila#9:col#6:p#1,"$ 2.048,00",2224.33,"$ 2.224,00"
tabla#2:fila#10:col#3:p#1,"$ 5.902,00",6410.16,"$ 6.410,00"
tabla#2:fila#10:col#4:p#1,"$ 5.629,00",6113.66,"$ 6.113,00"
tabla#2:fila#10:col#5:p#1,"$ 4.899,00",5320.80,"$ 5.320,00"
tabla#2:fila#10:col#6:p#1,"$ 2.792,00",3032.39,"$ 3.032,00"
tabla#2:fila#11:col#3:p#1,"$ 2.721,00",2955.28,"$ 2.955,00"
tabla#2:fila#11:col#4:p#1,"$ 2.575,00",2796.71,"$ 2.796,00"
tabla#2:fila#11:col#5:p#1,"$ 2.244,00",2437.21,"$ 2.437,00"
tabla#2:fila#11:col#6:p#1,"$ 1.272,00",1381.52,"$ 1.381,00"
tabla#2:fila#12:col#3:p#1,"$ 6.562,00",7126.99,"$ 7.126,00"
tabla#2:fila#12:col#4:p#1,"$ 6.258,00",6796.81,"$ 6.796,00"
tabla#2:fila#12:col#5:p#1,"$ 5.470,00",5940.97,"$ 5.940,00"
tabla#2:fila#12:col#6:p#1,"$ 3.110,00",3377.77,"$ 3.377,00"
tabla#2:fila#15:col#3:p#1,"$ 5.144,00",5586.90,"$ 5.586,00"
tabla#2:fila#15:col#4:p#1,"$ 4.879,00",5299.08,"$ 5.299,00"
tabla#2:fila#15:col#5:p#1,"$ 4.274,00",4641.99,"$ 4.641,00"
tabla#2:fila#15:col#6:p#1,"$ 2.424,00",2632.71,"$ 2.632,00"
tabla#2:fila#16:col#3:p#1,"$ 6.781,00",7364.84,"$ 7.364,00"
tabla#2:fila#16:col#4:p#1,"$ 6.464,00",7020.55,"$ 7.020,00"
tabla#2:fila#16:col#5:p#1,"$ 5.637,00",6122.35,"$ 6.122,00"
tabla#2:fila#16:col#6:p#1,"$ 3.203,00",3478.78,"$ 3.478,00"
tabla#2:fila#17:col#3:p#1,"$ 7.998,00",8686.63,"$ 8.686,00"
tabla#2:fila#17:col#4:p#1,"$ 7.605,00",8259.79,"$ 8.259,00"
tabla#2:fila#17:col#5:p#1,"$ 6.644,00",7216.05,"$ 7.216,00"
tabla#2:fila#17:col#6:p#1,"$ 3.783,00",4108.72,"$ 4.108,00"
tabla#2:fila#18:col#3:p#1,"$ 16.853,00",18304.04,"$ 18.304,00"
tabla#2:fila#18:col#4:p#1,"$ 16.066,00",17449.28,"$ 17.449,00"
tabla#2:fila#18:col#5:p#1,"$ 14.096,00",15309.67,"$ 15.309,00"
tabla#2:fila#18:col#6:p#1,"$ 8.011,00",8700.75,"$ 8.700,00"
tabla#2:fila#19:col#3:p#1,"$ 4.366,00",4741.91,"$ 4.741,00"
tabla#2:fila#19:col#4:p#1,"$ 4.143,00",4499.71,"$ 4.499,00"
tabla#2:fila#19:col#5:p#1,"$ 3.612,00",3922.99,"$ 3.922,00"
tabla#2:fila#19:col#6:p#1,"$ 2.048,00",2224.33,"$ 2.224,00"
tabla#2:fila#20:col#3:p#1,"$ 5.902,00",6410.16,"$ 6.410,00"
tabla#2:fila#20:col#4:p#1,"$ 5.629,00",6113.66,"$ 6.113,00"
tabla#2:fila#20:col#5:p#1,"$ 4.899,00",5320.80,"$ 5.320,00"
tabla#2:fila#20:col#6:p#1,"$ 2.792,00",3032.39,"$ 3.032,00"
tabla#2:fila#21:col#3:p#1,"$ 2.721,00",2955.28,"$ 2.955,00"
tabla#2:fila#21:col#4:p#1,"$ 2.575,00",2796.71,"$ 2.796,00"
tabla#2:fila#21:col#5:p#1,"$ 2.244,00",2437.21,"$ 2.437,00"
tabla#2:fila#21:col#6:p#1,"$ 1.272,00",1381.52,"$ 1.381,00"
tabla#2:fila#22:col#3:p#1,"$ 6.562,00",7126.99,"$ 7.126,00"
tabla#2:fila#22:col#4:p#1,"$ 6.258,00",6796.81,"$ 6.796,00"
tabla#2:fila#22:col#5:p#1,"$ 5.470,00",5940.97,"$ 5.940,00"
tabla#2:fila#22:col#6:p#1,"$ 3.110,00",3377.77,"$ 3.377,00"
tabla#3:fila#4:col#6:p#1,"$ 697,00",757.01,"$ 757,00"
tabla#3:fila#4:col#7:p#1,"$ 697,00",757.01,"$ 757,00"
tabla#3:fila#4:col#8:p#1,"$ 697,00",757.01,"$ 757,00"
tabla#3:fila#4:col#9:p#1,"$ 697,00",757.01,"$ 757,00"
tabla#3:fila#5:col#6:p#1,"$ 2.048,00",2224.33,"$ 2.224,00"
tabla#3:fila#5:col#7:p#1,"$ 2.048,00",2224.33,"$ 2.224,00"
tabla#3:fila#5:col#8:p#1,"$ 2.048,00",2224.33,"$ 2.224,00"
tabla#3:fila#5:col#9:p#1,"$ 2.048,00",2224.33,"$ 2.224,00"
tabla#3:fila#6:col#6:p#1,"$ 2.634,00",2860.79,"$ 2.860,00"
tabla#3:fila#6:col#7:p#1,"$ 2.634,00",2860.79,"$ 2.860,00"
tabla#3:fila#6:col#8:p#1,"$ 2.634,00",2860.79,"$ 2.860,00"
